,artist_name,track_name,track_id,popularity
0,Gunna,pushin P (feat. Young Thug),3XOalgusokruzA5ZBA2Qcb,93
1,Staylon,New Year 2022,3MyVTR0UPNcxoVU8tzUwPL,24
2,DJ Snake,U Are My High,4db4crB87tyZ9ExtEoxgVc,6
3,Years & Years,King,24EBedIvlpxLoVlxo8g7Ui,0
4,Juice WRLD,Cigarettes,42Xba467wgGvYrR2EE6s0i,88
5,Fabio Bevere,YEAR 2022,7niIWQiDqvFvyNtRJBgjIg,0
6,Taylor Swift,22 (Taylor's Version),3yII7UwgLF6K5zW3xad3MP,76
7,Ozoi the Maid,Santa's housewife final waltz fight - New Year 2022 ver.,6LkOOiQa2REVL7nfs7lpkp,17
8,Tate McRae,she's all i wanna be,0IuVhCflrQPMGRrOyoY5RW,91
9,Years & Years,King,0pRPMfFKI88q1weL3tDMQf,1
10,The Weeknd,Gasoline,3KyKxJ4P3pVCgaZwaq2rUC,84
11,2002,Summer of 300 Years,5hhw7WkW1tJ5hFVEme6Mle,36
12,Em Beihold,Numb Little Bug,3o9kpgkIcffx0iSwxhuNI2,88
13,Years & Years,King,2YOXaCSnCjXF6FrGCSnfxo,0
14,The Game,Eazy,6Ab81Bs9fcOwaTYuBsUUpI,85
15,2002,Summer of 300 Years,7GfVNjOYyyvp39tg2c2DO9,20
16,Dove Cameron,Boyfriend,59CfNbkERJ3NoTXDvoURjj,92
17,Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",3uRUbppUFPsmrccRXSDAjE,54
18,Gunna,P power (feat. Drake),0lEjxUUlKqjqXrVlIHFduD,85
19,saturn,2022 my year fr,4u2gL1g6AgF2vlAURETOXi,33
20,Jack Harlow,Nail Tech,62Yo3FDddWY8ydu6PW2wyz,87
21,Womack & Womack,Teardrops,14mRtbBGeqILGZI1r49Uv5,44
22,Charlie Puth,Light Switch,1BSMpVGWs3v5BZKnAQziAc,92
23,INMBeatz,New Year New Me,2lGrMaDv56BVIxNrgT5GY7,24
24,Becky G,MAMIII,1ri9ZUkBJVFUdgwzCnfcYs,94
25,Hot Tuna,Too Many Years - Live - Set 2,2rv1hw7DrSs2QsR5q8ZyBC,3
26,The Weeknd,Sacrifice,1nH2PkJL1XoUq8oE6tBZoU,92
27,Josef Strauss,"Nymphen-Polka, Op. 50",4Rec8Cm7xGxdrhMxCYU9Kd,37
28,Nicki Minaj,Do We Have A Problem?,1PNs0uGru3TcrA94kpyGnc,86
29,HOT RIDE the LEGEND,"2022 (New Year, New Me).",6OZHi41kYoBrr84JXBRNNz,22
30,Fivio Foreign,City of Gods,4huBDGP4I3S0pYI0EaRN1c,87
31,Dj Tony El Campeon,New Year Mix 2022 - Mega Mix,30cgTq3ASI4sNq0f83oZfP,19
32,King Von,Don't Play That,6BczFLHW9aIf9aWn5NFuNL,83
33,Hollow Stage,"New Year, New Bree (pt.2) - 2022",42qHps7apeIKpDiOsKXlJ7,18
34,The Weeknd,Is There Someone Else?,0mL82sxCRjrs3br407IdJh,87
35,Johann Strauss II,Die Fledermaus: Overtüre,2VIefSHPIMd7B6QPpX54Qu,34
36,Gucci Mane,Rumors (feat. Lil Durk),0P2P1AxcRYhiZvoF5MyRmM,82
37,"Joseph Hellmesberger, Jr.",Heinzelmännchen,0azOkHfzw0pLGF41f8Khmw,32
38,The Weeknd,Out of Time,2SLwbpExuoBDZBpjfefCtV,87
39,Josef Strauss,"Phönix-Marsch, Op. 105",1mhUDxfJryrpt9E7LZaRQC,33
40,JID,Surround Sound (feat. 21 Savage & Baby Tate),0cp97b37sFNsdIbQH6po3T,82
41,R3HAB,All Around The World (La La La),1iwEkU7SPZtaWD7cjOPyne,23
42,Lil Durk,AHHH HA,54VFhe501kUbDYj2OrueMp,79
43,ABBA,Happy New Year,2PfHShbickBdLYpXWcRQDq,25
44,Ed Sheeran,The Joker And The Queen (feat. Taylor Swift),6N1K5OVVCopBjGViHs2IvP,89
45,Johann Strauss II,"Persischer Marsch, Op. 289",6nFdjYo1hSmGPSmKiqFjN9,32
46,The Chainsmokers,High,3t4KHjd8uQpJJ2fa0fRIpR,86
47,Johann Strauss II,"Morgenblätter, Walzer, Op. 279",5aEWmo58rXyIpeK4WSWqeu,32
48,Jung Kook,Stay Alive (Prod. SUGA of BTS),7CAdT0HdiQNlt1C7xk2hep,92
49,Jyc Row,Year of the Tiger (Equestria Spring Festival Celebration 2022),7k3vvF7gbBVW9ejRn0zBOU,17
50,Gunna,Banking On Me,7Fege3yv4dvehB3NdRBGwI,81
51,Johann Strauss II,"Phönix-Schwingen, Walzer, Op. 125",332ERDsBLIekg5IZDwb2tB,32
52,Machine Gun Kelly,emo girl (feat. WILLOW),2AAyBZmMVZSZfgzXRYJOWQ,83
53,Johann Strauss II,"Champagner-Polka, Op. 211",0ceAZnQanR0on8E9HLmZK2,30
54,Nicki Minaj,Bussin,7lcI4X8RZxK4zIknJcwpBq,82
55,Namito,Feuersee - 2022 Remix,25jKHAwh2TRw7J8LcFqfsl,19
56,Lauren Spencer-Smith,Fingers Crossed,3yMC1KsTwh0ceXdIe4QQAQ,86
57,"Joseph Hellmesberger, Jr.","Kleiner Anzeiger, Galopp, Op. 4",1pkC7ik3IwiwIoLSgzqYRD,31
58,Taylor Swift,Love Story (Taylor’s Version),1iFzoC2oc04dIyLk9qdsPe,0
59,Josef Strauss,"Die Sirene, Polka mazur, Op. 248",1bEgBgMIfdpvw0HcCapAks,32
60,Taylor Swift,Lover,07eA2aoHezW8MrMqBwEJ1N,0
61,LMFAO,Party Rock Anthem,0MHZpGOPZhiBKxR40oRmXj,26
62,Taylor Swift,willow,4SbVtNX5Dc69HyWxMjVaTc,0
63,MEDUZA,Lose Control,5BeVk8Kqt0ZY9EMoWI8zfS,23
64,YG,Scared Money (feat. J. Cole and Moneybagg Yo),4heBcjj4Lw3X2sQVFNbLbz,80
65,Carl Michael Ziehrer,"Nachtschwärmer, Walzer, Op. 466",6oQ2HG7O0qGc3OLOjP7VRi,31
66,Jennifer Rojo,Consentir - te,07g1HnFexnp4x5eBEzTRaP,77
67,Eduard Strauss,"Kleine Chronik, Polka schnell, Op. 128",6pRgYY5NtiwCNQ4yT2jAXQ,31
68,Russ,HANDSOMER,4v1TTTCadimzZkTuDTnYBc,80
69,Black Eyed Peas,I Gotta Feeling,0teThZJXIAJigFWFCHhRrU,25
